HotelName,Address
Capital Crown Hotel,1 Administrative District Road New Capital
Nile Echo Hotel,28 Corniche El Nil Aswan
Harborline Suites,33 East Port Avenue Damietta
Sunrise Court Hotel,9 East Delta Road Zagazig
Mint Leaf Inn Executive Signature Conference and Hospitality Destination for International Delegations and Strategic Investment Summits Across Emerging Markets with Premium Business Lounges and Ultra Extended Naming Profile,17 University Street Tanta
Azure Gate Hotel,45 Waterfront Boulevard Alexandria
Cairo Circle Hotel,60 Ring Road Cairo
Palm Junction Resort,4 Desert Spine Road Hurghada
Regency Metro Hotel,26 City Star Avenue Nasr City
Amber Coast Lodge,39 North Beach Road Matrouh Coastal Service Corridor Expansion District Sector A Block 7 Long Form Address Segment Phase One Gateway Zone Logistics and Convention Access Route East Wing Administrative Annex Visitor Orientation Promenade Extended Description Segment for Deliberate SSIS Overflow Validation Case
